,0,1,2,3,4,5,6
0,1,216,شارژر همراه 10000 میلی آمپر شیائومی مدل Redmi PB100LZM همراه با 2 پورت خروجی,240,10000,2,300000
1,2,450,شارژر همراه 20000 میلی آمپر ریمکس مدل RPP-106 همراه با 2 پورت خروجی,380,15000,2,359000
2,4,399,شارژر همراه 20000 میلی آمپر شیائومی مدل 2C همراه با 2 پورت خروجی,360,20000,2,440000
3,5,38158,شارژر همراه ژیپین مدل PX503 ظرفیت 10000میلی آمپر ساعت همراه با 2 پورت خروجی,200,10000,2,239000
4,7,36255,شارژر همراه سی یرا مدل G80 ظرفیت 10000 میلی آمپر ساعت همراه با 2 پورت خروجی,227,10000,2,227000
5,8,36045,شارژر همراه ژیپین مدل PX302 ظرفیت 20000 میلی آمپر ساعت همراه با 2 پورت خروجی,420,20000,2,339000
6,9,716,شارژر همراه 20000 میلی آمپر ای دیتا مدل S20000D همراه با 2 پورت خروجی,420,20000,2,412000
7,10,317,شارژر همراه 20000 میلی آمپر ریمکس مدل RPP-150 همراه با 2 پورت خروجی,225,20000,2,555000
8,12,259,شارژر همراه 10000 میلی آمپر سامسونگ مدل EB-P1100 همراه با 2 پورت خروجی,220,10000,2,457000
9,13,36269,شارژر همراه سیلیکون پاور مدل GP27 ظرفیت 10000میلی آمپر ساعت همراه با دو پورت خروجی,184,10000,2,297000
10,14,589,شارژر همراه 20000 میلی آمپر انرجایزر مدل UE20003 همراه با 2 پورت خروجی,340,20000,2,467000
11,15,18230,شارژر همراه 10000 میلی آمپر ساعت انرجایزر مدل UE10054 همراه با 2 پورت خروجی,228,10000,2,262000
12,16,19940,شارژر همراه 10000 میلی آمپرساعت شیائومی مدل Redmi به همراه کابل تبدیل microUSB,127,10000,2,322000
13,17,36261,شارژر همراه انکر مدل A1215 ظرفیت 13000 میلی آمپر ساعت همراه با 2 پورت خروجی,240,13000,2,560000
14,18,731,شارژر همراه 10000 میلی آمپر ای دیتا مدل T10000 همراه با 2 پورت خروجی,217,10000,2,332000
15,19,1480,شارژر همراه 10000 میلی آمپر شیاومی مدل PLM03ZM همراه با 1 پورت خروجی,270,10000,1,327000
16,20,362,شارژر همراه 20000 میلی آمپر انرجایزر مدل UE20010 همراه با 2 پورت خروجی,415,20000,2,397000
